Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1633: Deprecate ExpectedException.none(),,Rules,,Deprecate method,Deprecate functionality
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1413: Ignore bridge methods when scanning for annotated methods,,Rules,,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1612: Make @ValidateWith only applicable to annotation types,,Rules,@Target(ANNOTATION_TYPE) has been added to @ValidateWith since it's only designed to be applied to another annotation,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1118: Add suite start/finish events to listener,,Run Listener,methods that notify when test suites are about to be started/finished,Add method,Add support for a new feature
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1359: Fixes how MultipleFailureException stack traces are printed,,Exception Testing,Print the stack trace for each caught exception as well,Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1376: Initializing MultipleFailureException with an empty list will now fail the test,,Exception Testing,Fix test outcome,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1371: Update MultipleFailureException.assertEmpty() to wrap assumption failure,,Exception Testing,Update MultipleFailureException.assertEmpty() to wrap assumption failure,Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Issue #1290: @Test(expected = AssumptionViolatedException.class) passes for AssumptionViolatedException,,Exception Testing,Fix test outcome,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1227: Behave better if the SecurityManager denies access to junit.properties,,JUnit 3 Changes,AccessControlException,Handle exception,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,"Pull request #1571: Set ""junit"" as ""Automatic-Module-Name""",,Misc,"JUnit 4.13 explicitly sets the module name to ""junit"" so that it is independent from the jar's name",Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1028: Trim stack trace,,Misc,JUnit's command-line runner (JUnitCore) prints smaller stack traces.,Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1403: Restore CategoryFilter constructor,,Misc,,Revert old behaviour ,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1530: Add Result#getAssumptionFailureCount,,Misc,,Add method,Add support for a new feature
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1292: Fix ResultMatchers#hasFailureContaining,,Misc,,Fix returning wrong output,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1380: Fix Assume#assumeNotNull,,Misc,Throw exception when needed,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1557: MaxCore always closes stream of history file,,Misc,close the output stream of the history file when write failed,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,,,,,,
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #611: Assert.assertNotEquals() for float parameters,,Assertions,Fix inconsistency,Add method,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #632: Assert.assertArrayEquals() for boolean[] parameters.,,Assertions,Fix inconsistency,Add method,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #918: Avoid potentially expensive reflection-based loop in Assert.assertArrayEquals(),,Assertions,Avoid potentially expensive reflection-based loop,Code refinement,Performance improvement
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #647: Support command-line --filter param.,,Command-line options,,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #763: Allow custom test runners to create their own TestClasses and customize the scanning of annotations.,,Test Runners,allow subclasses to control creation of the TestClass instance and to scan for annotations.,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #817: Support for context hierarchies,,Test Runners,Support for context hierarchies,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #716: Fix annotation collection from superclasses of JUnit3 tests.,,Test Runners,Fix annotation collection from superclasses of JUnit3 tests.,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #625 (commit 72af03c49f): Make RunNotifier code concurrent.,,Test Runners,,Fix concurrency,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #684: Adding AnnotationValidator framework and validation checks for @Category.,,Test Runners,,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #583: Pull request #720: Fix handling of AssertionError and AssumptionViolatedException in ExpectedException rule.,,Exception Testing,AssertionError,Handle exception,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Exception Testing,AssumptionViolatedException,Handle exception,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #818: Pull request #993: External version of AssumptionViolatedException,,Exception Testing,Add external version of AssumptionViolatedException,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Exception Testing,Remove unused constructors,Code simplification,Maintainability improvement
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #985: Change AssumptionViolatedException to not set the cause to null; fixes issue #494,,Exception Testing,,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #542: Customized failure message for ExpectedException,,Exception Testing,Customized failure message for ExpectedException,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #1013: Make ErrorCollector#checkSucceeds generic,,Exception Testing,Make method generic,Change implementation,Code redesign
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #823: Throw TestFailedOnTimeoutException instead of plain Exception on timeout,,Timeout for Tests,,Fix throwing wrong exception,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #742: Pull request #986: Timeout exceptions now include stack trace from stuck thread (experimental),,Timeout for Tests,Timeout exceptions now include stack trace from stuck thread (experimental),Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #544: New constructor and factories in Timeout,,Timeout for Tests,,Add method,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Timeout for Tests,,Add constructor,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Timeout for Tests,,Deprecate constructor,Deprecate functionality
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #549: fixes for #544 and #545,,Timeout for Tests,StatementThread catching two more exceptions when a thread is interrupted: InterruptedIOException and ClosedByInterruptException.,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Timeout for Tests,,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #876: The timeout rule never times out if you pass in a timeout of zero.,,Timeout for Tests,Change the Timeout rule to never timeout the test if zero is passed in,Fix wrong implementation,Bug fix
