Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump actions/checkout from v2.3.1 to v2.3.4 #601, #639. Thanks to Dependabot.",ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump actions/setup-java from v1.4.0 to v1.4.2 #612. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Update commons.jacoco.version 0.8.5 to 0.8.6 (Fixes Java 15 builds). Thanks to Gary Gregory.,ggregory,,,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Update maven-surefire-plugin 2.22.2 -> 3.0.0-M5. Thanks to Gary Gregory.,ggregory,,,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump maven-pmd-plugin from 3.13.0 to 3.14.0 #660. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump jmh.version from 1.21 to 1.27 #674. Thanks to Dependabot.,kinow,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Update commons.japicmp.version 0.14.3 -> 0.15.2. Thanks to Gary Gregory.,ggregory,,,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Processor.java: check enum equality with == instead of .equals() method #690. Thanks to Ali K. Nouri.,ggregory,,check enum euqality with == instead of .equals() method,Change implementation,Code redesign,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump junit-pioneer from 1.1.0 to 1.3.0 #702. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump maven-checkstyle-plugin from 3.1.1 to 3.1.2 #705. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump actions/cache from v2 to v2.1.4 #710. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump junit-bom from 5.7.0 to 5.7.1 #707. Thanks to Dependabot.,ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Minor Improvements #701. Thanks to Arturo Bernal.,ggregory,,Add final modifer to make the code read-only,Change access modifier,Code redesign,,
