Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Wrong exception message in FileUtils.setLastModified(File, File). Fixes IO-721. Thanks to Dirk Heinrichs, Gary Gregory.;ggregory;;Fix exception message ;Fix conformance to specification;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Infinite loop in ReaderInputStream instead of throwing exception for CodingErrorAction.REPORT. Fixes IO-717. Thanks to Marcono1234, Gary Gregory.;ggregory;;;Fix infinite loop;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;ReaderInputStream enter infinite loop for too small buffer sizes. Fixes IO-716. Thanks to Marcono1234, Gary Gregory.;ggregory;;When buffer size is too small;Fix infinite loop;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Infinite loop in CharSequenceInputStream.read for 4-byte characters with UTF-8 and 3-byte buffer. Fixes IO-638. Thanks to Thayne McCombs, Gary Gregory.;ggregory;;;Fix infinite loop;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;PathUtils.setReadOnly(Path, boolean, LinkOption...) should add READ_* file attributes when using POSIX. Fixes IO-638. Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;PathUtils.setReadOnly(Path, boolean, LinkOption...) readOnly argument is always assumed true on POSIX. Fixes IO-638. Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Prevent IllegalArgumentExceptions in BrokenInputStream/Reader/OutputStream/Writer #278. Fixes IO-729. Thanks to Rob Spoor, Gary Gregory.;ggregory;;IllegalArgumentException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.copyURLToFile(URL, File, int, int) leaks its URLConnection. Called by FileUtils.copyURLToFile(URL, File). Thanks to Gary Gregory.;ggregory;;FileUtils.copyURLToFile(URL, File, int, int) leaks its URLConnection;Fix leaking URLConnection;Security improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fixed ReaderInputStream not calling CharsetEncoder.flush issue #283. Fixes IO-714. Thanks to kevinwang1975, Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Minor changes #287. Thanks to Arturo Bernal.;ggregory;;Simplify assertions;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;Remove Unnecessary interface modifier;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;Replace lambda for reference;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
